Experiment,Best_Lambda
Exp_1,8
Exp_2,8
Exp_3,8
Exp_4,10
Exp_5,10
Exp_6,8
Exp_7,10
Exp_8,10
Exp_9,10
Exp_10,8
Exp_11,8
Exp_12,8
Exp_13,8
Exp_14,8
Exp_15,8
Exp_16,10
Exp_17,10
Exp_18,8
Exp_19,8
Exp_20,8
Exp_21,10
Exp_22,8
Exp_23,8
Exp_24,8
Exp_25,8
Exp_26,8
Exp_27,10
Exp_28,10
Exp_29,10
Exp_30,8
Exp_31,10
Exp_32,8
Exp_33,8
Exp_34,10
Exp_35,8
Exp_36,10
Exp_37,8
Exp_38,10
Exp_39,8
Exp_40,8
Exp_41,8
Exp_42,8
Exp_43,8
Exp_44,8
Exp_45,8
Exp_46,8
Exp_47,10
Exp_48,8
Exp_49,8
Exp_50,10
Exp_51,8
Exp_52,8
Exp_53,8
Exp_54,8
Exp_55,8
Exp_56,8
Exp_57,8
Exp_58,10
Exp_59,8
Exp_60,8
Exp_61,8
Exp_62,8
Exp_63,8
Exp_64,8
Exp_65,8
Exp_66,10
Exp_67,8
Exp_68,8
Exp_69,8
Exp_70,10
Exp_71,8
Exp_72,10
Exp_73,8
Exp_74,8
Exp_75,10
Exp_76,10
Exp_77,8
Exp_78,8
Exp_79,8
Exp_80,8
Exp_81,10
Exp_82,10
Exp_83,8
Exp_84,10
Exp_85,8
Exp_86,8
Exp_87,8
Exp_88,8
Exp_89,8
Exp_90,8
Exp_91,10
Exp_92,8
Exp_93,10
Exp_94,8
Exp_95,8
Exp_96,8
Exp_97,10
Exp_98,8
Exp_99,10
Exp_100,8
Exp_101,8
Exp_102,10
Exp_103,10
Exp_104,8
Exp_105,8
Exp_106,8
Exp_107,8
Exp_108,8
Exp_109,10
Exp_110,10
Exp_111,8
Exp_112,10
Exp_113,10
Exp_114,10
Exp_115,8
Exp_116,8
Exp_117,8
Exp_118,8
Exp_119,8
Exp_120,8
Exp_121,8
Exp_122,8
Exp_123,10
Exp_124,8
Exp_125,8
Exp_126,8
Exp_127,10
Exp_128,8
Exp_129,8
Exp_130,8
Exp_131,10
Exp_132,10
Exp_133,8
Exp_134,10
Exp_135,8
Exp_136,8
Exp_137,8
Exp_138,8
Exp_139,8
Exp_140,8
Exp_141,8
Exp_142,8
Exp_143,8
Exp_144,8
Exp_145,10
Exp_146,10
Exp_147,8
Exp_148,8
Exp_149,10
Exp_150,8
Exp_151,8
Exp_152,8
Exp_153,8
Exp_154,8
Exp_155,10
Exp_156,8
Exp_157,8
Exp_158,8
Exp_159,8
Exp_160,8
Exp_161,8
Exp_162,8
Exp_163,10
Exp_164,10
Exp_165,8
Exp_166,8
Exp_167,8
Exp_168,8
Exp_169,8
Exp_170,8
Exp_171,10
Exp_172,8
Exp_173,10
Exp_174,8
Exp_175,10
Exp_176,8
Exp_177,8
Exp_178,8
Exp_179,10
Exp_180,10
Exp_181,8
Exp_182,10
Exp_183,8
Exp_184,8
Exp_185,10
Exp_186,8
Exp_187,10
Exp_188,8
Exp_189,8
Exp_190,8
Exp_191,8
Exp_192,8
Exp_193,8
Exp_194,8
Exp_195,10
Exp_196,8
Exp_197,8
Exp_198,8
Exp_199,8
Exp_200,8
Exp_201,10
Exp_202,8
Exp_203,8
Exp_204,8
Exp_205,8
Exp_206,8
Exp_207,10
Exp_208,8
Exp_209,10
Exp_210,10
Exp_211,8
Exp_212,10
Exp_213,8
Exp_214,8
Exp_215,8
Exp_216,8
Exp_217,8
Exp_218,10
Exp_219,10
Exp_220,10
Exp_221,8
Exp_222,10
Exp_223,8
Exp_224,8
Exp_225,8
Exp_226,8
Exp_227,8
Exp_228,8
Exp_229,8
Exp_230,8
Exp_231,8
Exp_232,8
Exp_233,8
Exp_234,8
Exp_235,10
Exp_236,8
Exp_237,10
Exp_238,8
Exp_239,8
Exp_240,8
Exp_241,10
Exp_242,8
Exp_243,8
Exp_244,10
Exp_245,8
Exp_246,8
Exp_247,10
Exp_248,10
Exp_249,8
Exp_250,8
Exp_251,8
Exp_252,8
Exp_253,10
Exp_254,8
Exp_255,8
Exp_256,8
Exp_257,8
Exp_258,10
Exp_259,8
Exp_260,8
Exp_261,8
Exp_262,8
Exp_263,8
Exp_264,8
Exp_265,8
Exp_266,10
Exp_267,8
Exp_268,8
Exp_269,8
Exp_270,8
Exp_271,8
Exp_272,10
Exp_273,8
Exp_274,8
Exp_275,8
Exp_276,8
Exp_277,8
Exp_278,8
Exp_279,8
Exp_280,8
Exp_281,8
Exp_282,8
Exp_283,10
Exp_284,8
Exp_285,8
Exp_286,10
Exp_287,8
Exp_288,10
Exp_289,10
Exp_290,8
Exp_291,10
Exp_292,8
Exp_293,8
Exp_294,8
Exp_295,8
Exp_296,8
Exp_297,10
Exp_298,8
Exp_299,8
Exp_300,8
Exp_301,8
Exp_302,8
Exp_303,8
Exp_304,8
Exp_305,10
Exp_306,10
Exp_307,8
Exp_308,8
Exp_309,8
Exp_310,8
Exp_311,8
Exp_312,10
Exp_313,8
Exp_314,8
Exp_315,8
Exp_316,8
Exp_317,8
Exp_318,8
Exp_319,8
Exp_320,8
Exp_321,10
Exp_322,8
Exp_323,8
Exp_324,8
Exp_325,8
Exp_326,8
Exp_327,8
Exp_328,10
Exp_329,8
Exp_330,8
Exp_331,8
Exp_332,10
Exp_333,8
Exp_334,8
Exp_335,10
Exp_336,8
Exp_337,8
Exp_338,10
Exp_339,8
Exp_340,8
Exp_341,8
Exp_342,8
Exp_343,8
Exp_344,8
Exp_345,10
Exp_346,8
Exp_347,8
Exp_348,8
Exp_349,10
Exp_350,8
Exp_351,8
Exp_352,8
Exp_353,10
Exp_354,10
Exp_355,8
Exp_356,8
Exp_357,8
Exp_358,8
Exp_359,8
Exp_360,8
Exp_361,8
Exp_362,8
Exp_363,8
Exp_364,8
Exp_365,10
Exp_366,8
Exp_367,8
Exp_368,8
Exp_369,8
Exp_370,10
Exp_371,8
Exp_372,8
Exp_373,8
Exp_374,8
Exp_375,10
Exp_376,8
Exp_377,8
Exp_378,8
Exp_379,8
Exp_380,8
Exp_381,8
Exp_382,8
Exp_383,10
Exp_384,8
Exp_385,8
Exp_386,8
Exp_387,8
Exp_388,8
Exp_389,8
Exp_390,10
Exp_391,10
Exp_392,8
Exp_393,8
Exp_394,8
Exp_395,8
Exp_396,10
Exp_397,8
Exp_398,8
Exp_399,8
Exp_400,8
Exp_401,8
Exp_402,8
Exp_403,8
Exp_404,8
Exp_405,8
Exp_406,8
Exp_407,8
Exp_408,8
Exp_409,8
Exp_410,8
Exp_411,8
Exp_412,8
Exp_413,10
Exp_414,8
Exp_415,8
Exp_416,10
Exp_417,10
Exp_418,8
Exp_419,10
Exp_420,8
Exp_421,8
Exp_422,10
Exp_423,8
Exp_424,8
Exp_425,10
Exp_426,10
Exp_427,8
Exp_428,8
Exp_429,8
Exp_430,8
Exp_431,8
Exp_432,8
Exp_433,10
Exp_434,10
Exp_435,8
Exp_436,10
Exp_437,8
Exp_438,8
Exp_439,10
Exp_440,10
Exp_441,8
Exp_442,10
Exp_443,8
Exp_444,8
Exp_445,8
Exp_446,10
Exp_447,8
Exp_448,8
Exp_449,10
Exp_450,8
Exp_451,8
Exp_452,8
Exp_453,8
Exp_454,10
Exp_455,8
Exp_456,8
Exp_457,8
Exp_458,8
Exp_459,8
Exp_460,8
Exp_461,8
Exp_462,8
Exp_463,10
Exp_464,10
Exp_465,8
Exp_466,8
Exp_467,8
Exp_468,10
Exp_469,10
Exp_470,10
Exp_471,8
Exp_472,8
Exp_473,10
Exp_474,10
Exp_475,10
Exp_476,8
Exp_477,8
Exp_478,8
Exp_479,10
Exp_480,8
Exp_481,8
Exp_482,8
Exp_483,10
Exp_484,8
Exp_485,8
Exp_486,8
Exp_487,10
Exp_488,8
Exp_489,8
Exp_490,8
Exp_491,8
Exp_492,8
Exp_493,8
Exp_494,8
Exp_495,8
Exp_496,8
Exp_497,10
Exp_498,10
Exp_499,10
Exp_500,8
