Experiment,Best_Lambda
Exp_1,60
Exp_2,65
Exp_3,60
Exp_4,65
Exp_5,70
Exp_6,60
Exp_7,80
Exp_8,65
Exp_9,80
Exp_10,65
Exp_11,65
Exp_12,60
Exp_13,65
Exp_14,65
Exp_15,60
Exp_16,70
Exp_17,80
Exp_18,65
Exp_19,70
Exp_20,60
Exp_21,65
Exp_22,70
Exp_23,80
Exp_24,70
Exp_25,80
Exp_26,65
Exp_27,65
Exp_28,80
Exp_29,70
Exp_30,70
Exp_31,60
Exp_32,60
Exp_33,65
Exp_34,70
Exp_35,65
Exp_36,60
Exp_37,65
Exp_38,70
Exp_39,60
Exp_40,80
Exp_41,80
Exp_42,70
Exp_43,65
Exp_44,65
Exp_45,65
Exp_46,70
Exp_47,60
Exp_48,80
Exp_49,60
Exp_50,60
Exp_51,80
Exp_52,60
Exp_53,70
Exp_54,60
Exp_55,80
Exp_56,70
Exp_57,60
Exp_58,65
Exp_59,70
Exp_60,80
Exp_61,80
Exp_62,65
Exp_63,65
Exp_64,70
Exp_65,80
Exp_66,65
Exp_67,70
Exp_68,70
Exp_69,65
Exp_70,60
Exp_71,70
Exp_72,60
Exp_73,70
Exp_74,80
Exp_75,65
Exp_76,80
Exp_77,70
Exp_78,60
Exp_79,65
Exp_80,65
Exp_81,80
Exp_82,60
Exp_83,70
Exp_84,65
Exp_85,70
Exp_86,60
Exp_87,65
Exp_88,80
Exp_89,80
Exp_90,70
Exp_91,60
Exp_92,65
Exp_93,70
Exp_94,60
Exp_95,60
Exp_96,80
Exp_97,60
Exp_98,70
Exp_99,60
Exp_100,60
Exp_101,80
Exp_102,70
Exp_103,80
Exp_104,80
Exp_105,80
Exp_106,60
Exp_107,80
Exp_108,65
Exp_109,80
Exp_110,80
Exp_111,65
Exp_112,80
Exp_113,70
Exp_114,60
Exp_115,60
Exp_116,80
Exp_117,65
Exp_118,80
Exp_119,60
Exp_120,65
Exp_121,65
Exp_122,65
Exp_123,60
Exp_124,70
Exp_125,65
Exp_126,80
Exp_127,70
Exp_128,60
Exp_129,65
Exp_130,65
Exp_131,80
Exp_132,60
Exp_133,65
Exp_134,70
Exp_135,80
Exp_136,60
Exp_137,80
Exp_138,60
Exp_139,70
Exp_140,60
Exp_141,65
Exp_142,65
Exp_143,70
Exp_144,80
Exp_145,70
Exp_146,80
Exp_147,65
Exp_148,70
Exp_149,60
Exp_150,65
Exp_151,80
Exp_152,70
Exp_153,80
Exp_154,65
Exp_155,80
Exp_156,65
Exp_157,70
Exp_158,65
Exp_159,65
Exp_160,70
Exp_161,80
Exp_162,60
Exp_163,80
Exp_164,65
Exp_165,80
Exp_166,70
Exp_167,65
Exp_168,60
Exp_169,60
Exp_170,65
Exp_171,60
Exp_172,65
Exp_173,65
Exp_174,65
Exp_175,70
Exp_176,65
Exp_177,80
Exp_178,70
Exp_179,70
Exp_180,60
Exp_181,60
Exp_182,70
Exp_183,80
Exp_184,65
Exp_185,80
Exp_186,65
Exp_187,60
Exp_188,60
Exp_189,80
Exp_190,60
Exp_191,70
Exp_192,60
Exp_193,70
Exp_194,60
Exp_195,80
Exp_196,60
Exp_197,70
Exp_198,70
Exp_199,70
Exp_200,80
Exp_201,60
Exp_202,65
Exp_203,65
Exp_204,65
Exp_205,65
Exp_206,70
Exp_207,80
Exp_208,65
Exp_209,70
Exp_210,65
Exp_211,60
Exp_212,80
Exp_213,65
Exp_214,60
Exp_215,80
Exp_216,60
Exp_217,60
Exp_218,70
Exp_219,80
Exp_220,70
Exp_221,60
Exp_222,80
Exp_223,80
Exp_224,70
Exp_225,80
Exp_226,80
Exp_227,65
Exp_228,70
Exp_229,65
Exp_230,80
Exp_231,60
Exp_232,70
Exp_233,60
Exp_234,80
Exp_235,60
Exp_236,70
Exp_237,70
Exp_238,65
Exp_239,60
Exp_240,65
Exp_241,80
Exp_242,70
Exp_243,80
Exp_244,70
Exp_245,65
Exp_246,80
Exp_247,65
Exp_248,65
Exp_249,80
Exp_250,70
Exp_251,65
Exp_252,70
Exp_253,80
Exp_254,80
Exp_255,80
Exp_256,70
Exp_257,70
Exp_258,70
Exp_259,60
Exp_260,60
Exp_261,70
Exp_262,80
Exp_263,60
Exp_264,70
Exp_265,65
Exp_266,65
Exp_267,70
Exp_268,80
Exp_269,60
Exp_270,65
Exp_271,65
Exp_272,70
Exp_273,60
Exp_274,65
Exp_275,65
Exp_276,65
Exp_277,70
Exp_278,60
Exp_279,80
Exp_280,70
Exp_281,80
Exp_282,70
Exp_283,80
Exp_284,70
Exp_285,65
Exp_286,65
Exp_287,65
Exp_288,60
Exp_289,65
Exp_290,65
Exp_291,70
Exp_292,60
Exp_293,80
Exp_294,65
Exp_295,65
Exp_296,80
Exp_297,60
Exp_298,65
Exp_299,65
Exp_300,65
Exp_301,65
Exp_302,60
Exp_303,65
Exp_304,70
Exp_305,65
Exp_306,65
Exp_307,65
Exp_308,60
Exp_309,70
Exp_310,70
Exp_311,65
Exp_312,60
Exp_313,70
Exp_314,70
Exp_315,60
Exp_316,80
Exp_317,65
Exp_318,80
Exp_319,70
Exp_320,80
Exp_321,65
Exp_322,60
Exp_323,70
Exp_324,65
Exp_325,80
Exp_326,70
Exp_327,65
Exp_328,60
Exp_329,60
Exp_330,65
Exp_331,65
Exp_332,70
Exp_333,65
Exp_334,80
Exp_335,60
Exp_336,60
Exp_337,60
Exp_338,60
Exp_339,65
Exp_340,60
Exp_341,70
Exp_342,70
Exp_343,70
Exp_344,80
Exp_345,65
Exp_346,65
Exp_347,70
Exp_348,70
Exp_349,80
Exp_350,65
Exp_351,80
Exp_352,70
Exp_353,70
Exp_354,65
Exp_355,60
Exp_356,60
Exp_357,80
Exp_358,65
Exp_359,65
Exp_360,65
Exp_361,80
Exp_362,65
Exp_363,70
Exp_364,60
Exp_365,70
Exp_366,65
Exp_367,65
Exp_368,65
Exp_369,70
Exp_370,70
Exp_371,60
Exp_372,80
Exp_373,80
Exp_374,65
Exp_375,70
Exp_376,60
Exp_377,65
Exp_378,60
Exp_379,60
Exp_380,70
Exp_381,70
Exp_382,70
Exp_383,80
Exp_384,60
Exp_385,60
Exp_386,80
Exp_387,70
Exp_388,65
Exp_389,70
Exp_390,60
Exp_391,80
Exp_392,60
Exp_393,70
Exp_394,70
Exp_395,60
Exp_396,60
Exp_397,60
Exp_398,80
Exp_399,60
Exp_400,70
Exp_401,60
Exp_402,60
Exp_403,65
Exp_404,65
Exp_405,60
Exp_406,80
Exp_407,65
Exp_408,80
Exp_409,60
Exp_410,80
Exp_411,60
Exp_412,60
Exp_413,80
Exp_414,60
Exp_415,60
Exp_416,65
Exp_417,80
Exp_418,70
Exp_419,60
Exp_420,80
Exp_421,60
Exp_422,65
Exp_423,65
Exp_424,70
Exp_425,70
Exp_426,65
Exp_427,70
Exp_428,65
Exp_429,80
Exp_430,65
Exp_431,80
Exp_432,65
Exp_433,60
Exp_434,80
Exp_435,70
Exp_436,65
Exp_437,60
Exp_438,70
Exp_439,80
Exp_440,60
Exp_441,70
Exp_442,60
Exp_443,60
Exp_444,60
Exp_445,60
Exp_446,70
Exp_447,70
Exp_448,60
Exp_449,70
Exp_450,70
Exp_451,65
Exp_452,60
Exp_453,65
Exp_454,65
Exp_455,60
Exp_456,80
Exp_457,65
Exp_458,70
Exp_459,70
Exp_460,65
Exp_461,65
Exp_462,70
Exp_463,70
Exp_464,80
Exp_465,80
Exp_466,70
Exp_467,60
Exp_468,70
Exp_469,65
Exp_470,60
Exp_471,60
Exp_472,70
Exp_473,60
Exp_474,60
Exp_475,65
Exp_476,70
Exp_477,65
Exp_478,80
Exp_479,70
Exp_480,70
Exp_481,80
Exp_482,80
Exp_483,80
Exp_484,70
Exp_485,60
Exp_486,60
Exp_487,80
Exp_488,60
Exp_489,70
Exp_490,65
Exp_491,65
Exp_492,60
Exp_493,60
Exp_494,65
