Experiment,Best_Lambda
Exp_1,10
Exp_2,10
Exp_3,8
Exp_4,8
Exp_5,10
Exp_6,8
Exp_7,8
Exp_8,8
Exp_9,5
Exp_10,5
Exp_11,10
Exp_12,8
Exp_13,8
Exp_14,8
Exp_15,8
Exp_16,8
Exp_17,8
Exp_18,8
Exp_19,8
Exp_20,8
Exp_21,8
Exp_22,8
Exp_23,8
Exp_24,10
Exp_25,8
Exp_26,8
Exp_27,10
Exp_28,8
Exp_29,8
Exp_30,10
Exp_31,8
Exp_32,8
Exp_33,8
Exp_34,8
Exp_35,8
Exp_36,8
Exp_37,8
Exp_38,8
Exp_39,10
Exp_40,10
Exp_41,8
Exp_42,10
Exp_43,8
Exp_44,8
Exp_45,8
Exp_46,8
Exp_47,10
Exp_48,10
Exp_49,8
Exp_50,8
Exp_51,10
Exp_52,8
Exp_53,8
Exp_54,8
Exp_55,5
Exp_56,8
Exp_57,8
Exp_58,8
Exp_59,8
Exp_60,8
Exp_61,10
Exp_62,8
Exp_63,8
Exp_64,8
Exp_65,8
Exp_66,8
Exp_67,8
Exp_68,8
Exp_69,10
Exp_70,8
Exp_71,8
Exp_72,8
Exp_73,10
Exp_74,10
Exp_75,8
Exp_76,8
Exp_77,8
Exp_78,8
Exp_79,8
Exp_80,8
Exp_81,8
Exp_82,10
Exp_83,8
Exp_84,8
Exp_85,5
Exp_86,5
Exp_87,8
Exp_88,5
Exp_89,8
Exp_90,8
Exp_91,8
Exp_92,8
Exp_93,8
Exp_94,5
Exp_95,8
Exp_96,8
Exp_97,10
Exp_98,10
Exp_99,8
Exp_100,8
Exp_101,8
Exp_102,8
Exp_103,8
Exp_104,8
Exp_105,10
Exp_106,8
Exp_107,8
Exp_108,10
Exp_109,10
Exp_110,8
Exp_111,10
Exp_112,10
Exp_113,8
Exp_114,8
Exp_115,8
Exp_116,10
Exp_117,8
Exp_118,8
Exp_119,8
Exp_120,8
Exp_121,8
Exp_122,10
Exp_123,8
Exp_124,10
Exp_125,8
Exp_126,8
Exp_127,10
Exp_128,8
Exp_129,5
Exp_130,10
Exp_131,10
Exp_132,8
Exp_133,10
Exp_134,8
Exp_135,8
Exp_136,8
Exp_137,10
Exp_138,10
Exp_139,8
Exp_140,8
Exp_141,8
Exp_142,8
Exp_143,8
Exp_144,8
Exp_145,10
Exp_146,8
Exp_147,8
Exp_148,10
Exp_149,10
Exp_150,8
Exp_151,10
Exp_152,10
Exp_153,10
Exp_154,8
Exp_155,8
Exp_156,8
Exp_157,8
Exp_158,10
Exp_159,10
Exp_160,8
Exp_161,10
Exp_162,8
Exp_163,5
Exp_164,10
Exp_165,10
Exp_166,10
Exp_167,5
Exp_168,10
Exp_169,10
Exp_170,10
Exp_171,8
Exp_172,8
Exp_173,10
Exp_174,8
Exp_175,10
Exp_176,10
Exp_177,10
Exp_178,8
Exp_179,8
Exp_180,8
Exp_181,8
Exp_182,8
Exp_183,8
Exp_184,10
Exp_185,8
Exp_186,10
Exp_187,10
Exp_188,8
Exp_189,8
Exp_190,8
Exp_191,8
Exp_192,8
Exp_193,10
Exp_194,10
Exp_195,8
Exp_196,10
Exp_197,10
Exp_198,8
Exp_199,10
Exp_200,8
Exp_201,8
Exp_202,10
Exp_203,10
Exp_204,8
Exp_205,8
Exp_206,10
Exp_207,8
Exp_208,10
Exp_209,8
Exp_210,10
Exp_211,5
Exp_212,10
Exp_213,8
Exp_214,8
Exp_215,8
Exp_216,10
Exp_217,10
Exp_218,8
Exp_219,8
Exp_220,10
Exp_221,8
Exp_222,8
Exp_223,8
Exp_224,8
Exp_225,10
Exp_226,8
Exp_227,10
Exp_228,8
Exp_229,10
Exp_230,8
Exp_231,8
Exp_232,8
Exp_233,10
Exp_234,10
Exp_235,8
Exp_236,8
Exp_237,8
Exp_238,8
Exp_239,8
Exp_240,10
Exp_241,8
Exp_242,8
Exp_243,8
Exp_244,10
Exp_245,8
Exp_246,8
Exp_247,8
Exp_248,10
Exp_249,8
Exp_250,8
Exp_251,8
Exp_252,8
Exp_253,10
Exp_254,8
Exp_255,8
Exp_256,8
Exp_257,8
Exp_258,10
Exp_259,8
Exp_260,10
Exp_261,8
Exp_262,8
Exp_263,10
Exp_264,8
Exp_265,8
Exp_266,5
Exp_267,5
Exp_268,10
Exp_269,8
Exp_270,10
Exp_271,8
Exp_272,8
Exp_273,8
Exp_274,8
Exp_275,8
Exp_276,10
Exp_277,8
Exp_278,10
Exp_279,5
Exp_280,8
Exp_281,8
Exp_282,8
Exp_283,8
Exp_284,8
Exp_285,8
Exp_286,8
Exp_287,10
Exp_288,10
Exp_289,8
Exp_290,8
Exp_291,5
Exp_292,10
Exp_293,10
Exp_294,8
Exp_295,10
Exp_296,10
Exp_297,8
Exp_298,8
Exp_299,10
Exp_300,8
Exp_301,8
Exp_302,8
Exp_303,10
Exp_304,10
Exp_305,10
Exp_306,8
Exp_307,8
Exp_308,10
Exp_309,5
Exp_310,8
Exp_311,8
Exp_312,10
Exp_313,8
Exp_314,10
Exp_315,10
Exp_316,8
Exp_317,8
Exp_318,8
Exp_319,8
Exp_320,10
Exp_321,8
Exp_322,8
Exp_323,8
Exp_324,10
Exp_325,8
Exp_326,10
Exp_327,8
Exp_328,8
Exp_329,10
Exp_330,10
Exp_331,8
Exp_332,8
Exp_333,8
Exp_334,10
Exp_335,8
Exp_336,10
Exp_337,8
Exp_338,8
Exp_339,10
Exp_340,8
Exp_341,8
Exp_342,10
Exp_343,10
Exp_344,8
Exp_345,8
Exp_346,8
Exp_347,10
Exp_348,8
Exp_349,10
Exp_350,8
Exp_351,8
Exp_352,8
Exp_353,10
Exp_354,10
Exp_355,8
Exp_356,8
Exp_357,8
Exp_358,8
Exp_359,10
Exp_360,8
Exp_361,8
Exp_362,8
Exp_363,8
Exp_364,8
Exp_365,8
Exp_366,8
Exp_367,10
Exp_368,5
Exp_369,10
Exp_370,8
Exp_371,8
Exp_372,10
Exp_373,8
Exp_374,10
Exp_375,8
Exp_376,8
Exp_377,10
Exp_378,8
Exp_379,10
Exp_380,8
Exp_381,10
Exp_382,8
Exp_383,8
Exp_384,10
Exp_385,10
Exp_386,10
Exp_387,10
Exp_388,8
Exp_389,8
Exp_390,8
Exp_391,8
Exp_392,10
Exp_393,8
Exp_394,10
Exp_395,10
Exp_396,10
Exp_397,8
Exp_398,8
Exp_399,8
Exp_400,5
Exp_401,8
Exp_402,8
Exp_403,8
Exp_404,8
Exp_405,8
Exp_406,10
Exp_407,8
Exp_408,8
Exp_409,8
Exp_410,8
Exp_411,8
Exp_412,10
Exp_413,8
Exp_414,8
Exp_415,8
Exp_416,8
Exp_417,10
Exp_418,8
Exp_419,8
Exp_420,10
Exp_421,8
Exp_422,8
Exp_423,10
Exp_424,8
Exp_425,10
Exp_426,8
Exp_427,8
Exp_428,10
Exp_429,8
Exp_430,10
Exp_431,8
Exp_432,8
Exp_433,8
Exp_434,8
Exp_435,10
Exp_436,10
Exp_437,8
Exp_438,10
Exp_439,10
Exp_440,10
Exp_441,8
Exp_442,10
Exp_443,8
Exp_444,5
Exp_445,8
Exp_446,8
Exp_447,10
Exp_448,8
Exp_449,10
Exp_450,10
Exp_451,8
Exp_452,8
Exp_453,10
Exp_454,8
Exp_455,10
Exp_456,8
Exp_457,8
Exp_458,8
Exp_459,10
Exp_460,10
Exp_461,8
Exp_462,10
Exp_463,8
Exp_464,8
Exp_465,5
Exp_466,10
Exp_467,8
Exp_468,8
Exp_469,10
Exp_470,8
Exp_471,8
Exp_472,8
Exp_473,8
Exp_474,8
Exp_475,10
Exp_476,8
Exp_477,8
Exp_478,8
Exp_479,8
Exp_480,8
Exp_481,10
Exp_482,8
Exp_483,10
Exp_484,8
Exp_485,10
Exp_486,10
Exp_487,10
Exp_488,10
Exp_489,10
Exp_490,8
Exp_491,8
Exp_492,10
Exp_493,8
Exp_494,10
Exp_495,8
Exp_496,8
Exp_497,5
Exp_498,10
Exp_499,8
Exp_500,8
