Estimate Type,Sample Size,Smooth Order,N Eval Points,Mean Abs Bias,Mean Variance,Mean MSE,Median Oracle Coverage (%),Mean Oracle Coverage (%)
Density,200,0,52,0.0832100469470222,2.1213167983019754,2.1317201524667673,96.3,96.27307692307694
Density,200,1,52,0.02809661567594152,0.48620641284747357,0.48638970518726915,95.19999999999999,95.22307692307692
Density,400,0,52,0.08389863118400116,1.3800027174986431,1.3959655774390567,96.39999999999999,96.48461538461538
Density,400,1,52,0.019205089224181352,0.3119238999801913,0.31203663306731844,95.0,95.06538461538463
Density,800,0,52,0.08141829781920713,0.9079298373093798,0.9276028453974546,96.39999999999999,96.21923076923075
Density,800,1,52,0.012176485061894175,0.17270404699689562,0.1726839787642077,94.9,94.90769230769232
Density,1600,0,52,0.08688817939992649,0.5764684162583062,0.601228329744239,96.0,96.04999999999998
Density,1600,1,52,0.01192404456891523,0.1143016407310656,0.11439769824300525,94.8,94.67692307692307
Density,3200,0,52,0.07310408406980495,0.476221844114964,0.4956534795499569,95.6,96.0076923076923
Density,3200,1,52,0.009225843270456485,0.06479613444828708,0.06480655650295683,94.6,94.65384615384613
Survival,200,0,52,0.0017584452731705307,0.0014450996925306704,0.0014475662593767579,95.29999999999998,95.21153846153844
Survival,200,1,52,0.0014503569742142612,0.001085957808880776,0.0010871178695121876,94.9,95.03846153846153
Survival,400,0,52,0.0011140143721084601,0.0008609293819465009,0.0008614950946671722,95.19999999999999,95.31538461538464
Survival,400,1,52,0.0007841892168279924,0.000635397842624526,0.0006351854089395243,95.39999999999999,95.38846153846154
Survival,800,0,52,0.0005935633024352241,0.00043863211316559685,0.0004385313463160477,95.39999999999999,95.26923076923077
Survival,800,1,52,0.0003426266495973097,0.0002957487264142038,0.00029543258317409976,95.1,95.15
Survival,1600,0,52,0.0004755239992473096,0.00024352051303011158,0.00024349000175961493,95.19999999999999,95.19615384615382
Survival,1600,1,52,0.0003990938077384806,0.0001695265323738367,0.00016956907495164244,95.19999999999999,95.23076923076923
Survival,3200,0,52,0.0005789407385192403,0.00014410949311086162,0.00014475691582941993,94.8,94.91153846153846
Survival,3200,1,52,0.0003842018362360816,8.241687976425092e-05,8.253540928563724e-05,95.19999999999999,95.22692307692309
