Sample Size,Smooth Order,N Eval Points,Mean Abs Bias,Mean Variance,Mean MSE,Median Oracle Coverage (%),Mean Oracle Coverage (%)
200,0,52,0.0832100469470222,2.1213167983019754,2.1317201524667673,96.3,96.27307692307694
200,1,52,0.02809661567594152,0.48620641284747357,0.48638970518726915,95.19999999999999,95.22307692307692
400,0,52,0.08389863118400116,1.3800027174986431,1.3959655774390567,96.39999999999999,96.48461538461538
400,1,52,0.019205089224181352,0.3119238999801913,0.31203663306731844,95.0,95.06538461538463
800,0,52,0.08141829781920713,0.9079298373093798,0.9276028453974546,96.39999999999999,96.21923076923075
800,1,52,0.012176485061894175,0.17270404699689562,0.1726839787642077,94.9,94.90769230769232
1600,0,52,0.08688817939992649,0.5764684162583062,0.601228329744239,96.0,96.04999999999998
1600,1,52,0.01192404456891523,0.1143016407310656,0.11439769824300525,94.8,94.67692307692307
3200,0,52,0.07310408406980495,0.476221844114964,0.4956534795499569,95.6,96.0076923076923
3200,1,52,0.009225843270456485,0.06479613444828708,0.06480655650295683,94.6,94.65384615384613
