Sample Size,Smooth Order,N Eval Points,Mean Abs Bias,Mean Variance,Mean MSE,Median Oracle Coverage (%),Mean Oracle Coverage (%)
200,0,52,0.0017584452731705307,0.0014450996925306704,0.0014475662593767579,95.29999999999998,95.21153846153844
200,1,52,0.0014503569742142612,0.001085957808880776,0.0010871178695121876,94.9,95.03846153846153
400,0,52,0.0011140143721084601,0.0008609293819465009,0.0008614950946671722,95.19999999999999,95.31538461538464
400,1,52,0.0007841892168279924,0.000635397842624526,0.0006351854089395243,95.39999999999999,95.38846153846154
800,0,52,0.0005935633024352241,0.00043863211316559685,0.0004385313463160477,95.39999999999999,95.26923076923077
800,1,52,0.0003426266495973097,0.0002957487264142038,0.00029543258317409976,95.1,95.15
1600,0,52,0.0004755239992473096,0.00024352051303011158,0.00024349000175961493,95.19999999999999,95.19615384615382
1600,1,52,0.0003990938077384806,0.0001695265323738367,0.00016956907495164244,95.19999999999999,95.23076923076923
3200,0,52,0.0005789407385192403,0.00014410949311086162,0.00014475691582941993,94.8,94.91153846153846
3200,1,52,0.0003842018362360816,8.241687976425092e-05,8.253540928563724e-05,95.19999999999999,95.22692307692309
