Estimate Type,Sample Size,Smooth Order,N Eval Points,Mean Abs Bias,Mean Variance,Mean MSE,Median Oracle Coverage (%),Mean Oracle Coverage (%)
Density,200,0,10,0.06880319694150708,1.1749119688929262,1.1793050637025901,96.6,96.55999999999999
Density,200,1,10,0.03328507554787015,0.2598602085509325,0.26072231014793,94.69999999999999,94.6
Density,400,0,10,0.0502577510532924,0.5281749324596274,0.530746195846856,96.3,96.2
Density,400,1,10,0.01744322032494442,0.13878872066838202,0.138938936983464,94.39999999999999,94.64
Density,800,0,10,0.043861824981997574,0.2530001251169029,0.2549888166583402,95.1,95.24
Density,800,1,10,0.011091663909914989,0.07173699092880378,0.07177568256178364,94.8,94.89999999999999
Density,1600,0,10,0.028011773196378154,0.13444719353241014,0.13514953775366564,95.8,95.62
Density,1600,1,10,0.007729606326191851,0.03984995285093927,0.039882114122876594,94.6,94.85999999999999
Density,3200,0,10,0.01930130049682991,0.0679422524664576,0.06835137491395071,95.39999999999999,95.44000000000001
Density,3200,1,10,0.0065193917580032845,0.02178962651547586,0.021804699428990874,94.69999999999999,94.64
Survival,200,0,10,0.005468551619810675,0.0010375637137342599,0.0010741078778944237,94.8,93.66
Survival,200,1,10,0.0018193209537370248,0.0009156100975782741,0.0009182154832020988,95.19999999999999,95.33999999999999
Survival,400,0,10,0.002977517028143578,0.0005000631628564741,0.0005113718732272227,95.0,94.82000000000001
Survival,400,1,10,0.0011001802134250197,0.00044193949917650615,0.0004426648775289861,95.5,95.32000000000001
Survival,800,0,10,0.0024643916619444747,0.00023964524484480445,0.00024653093556858697,94.6,94.74
Survival,800,1,10,0.000531466584282998,0.00021278189134413874,0.00021278788796944164,95.5,95.3
Survival,1600,0,10,0.0020059791315588243,0.00012735532032060243,0.00013231247501837082,94.39999999999999,94.46
Survival,1600,1,10,0.0005262170969520701,0.00011650440417999779,0.00011658809377486505,95.1,95.0
Survival,3200,0,10,0.0011959345689412123,6.217911170615298e-05,6.39877651863792e-05,94.9,94.68
Survival,3200,1,10,0.00029011805074417396,5.72656575084529e-05,5.7273935350318946e-05,95.39999999999999,95.28
