Sample Size,Smooth Order,N Eval Points,Mean Abs Bias,Mean Variance,Mean MSE,Median Oracle Coverage (%),Mean Oracle Coverage (%)
200,0,10,0.06880319694150708,1.1749119688929262,1.1793050637025901,96.6,96.55999999999999
200,1,10,0.03328507554787015,0.2598602085509325,0.26072231014793,94.69999999999999,94.6
400,0,10,0.0502577510532924,0.5281749324596274,0.530746195846856,96.3,96.2
400,1,10,0.01744322032494442,0.13878872066838202,0.138938936983464,94.39999999999999,94.64
800,0,10,0.043861824981997574,0.2530001251169029,0.2549888166583402,95.1,95.24
800,1,10,0.011091663909914989,0.07173699092880378,0.07177568256178364,94.8,94.89999999999999
1600,0,10,0.028011773196378154,0.13444719353241014,0.13514953775366564,95.8,95.62
1600,1,10,0.007729606326191851,0.03984995285093927,0.039882114122876594,94.6,94.85999999999999
3200,0,10,0.01930130049682991,0.0679422524664576,0.06835137491395071,95.39999999999999,95.44000000000001
3200,1,10,0.0065193917580032845,0.02178962651547586,0.021804699428990874,94.69999999999999,94.64
