Sample Size,Smooth Order,N Eval Points,Mean Abs Bias,Mean Variance,Mean MSE,Median Oracle Coverage (%),Mean Oracle Coverage (%)
200,0,10,0.005468551619810675,0.0010375637137342599,0.0010741078778944237,94.8,93.66
200,1,10,0.0018193209537370248,0.0009156100975782741,0.0009182154832020988,95.19999999999999,95.33999999999999
400,0,10,0.002977517028143578,0.0005000631628564741,0.0005113718732272227,95.0,94.82000000000001
400,1,10,0.0011001802134250197,0.00044193949917650615,0.0004426648775289861,95.5,95.32000000000001
800,0,10,0.0024643916619444747,0.00023964524484480445,0.00024653093556858697,94.6,94.74
800,1,10,0.000531466584282998,0.00021278189134413874,0.00021278788796944164,95.5,95.3
1600,0,10,0.0020059791315588243,0.00012735532032060243,0.00013231247501837082,94.39999999999999,94.46
1600,1,10,0.0005262170969520701,0.00011650440417999779,0.00011658809377486505,95.1,95.0
3200,0,10,0.0011959345689412123,6.217911170615298e-05,6.39877651863792e-05,94.9,94.68
3200,1,10,0.00029011805074417396,5.72656575084529e-05,5.7273935350318946e-05,95.39999999999999,95.28
